Video ID,Playlist Video Creation Timestamp
vMtjny3Dhi4,2021-01-06T14:38:23+00:00
z-o1W9ijUhI,2021-01-06T16:02:30+00:00
UiZl6aTgego,2021-05-05T09:18:24+00:00
fiqhXjatC7g,2021-07-27T08:51:29+00:00
rZyNBd1WgVM,2021-07-27T08:53:16+00:00
ktEjaABp4aw,2021-09-19T10:10:45+00:00
7n_QLWs1Yrw,2021-10-12T16:20:16+00:00
CyTHEh2yyr8,2021-10-12T16:20:51+00:00
XtPeY3KKA24,2022-01-07T14:17:21+00:00
Daui6gJqclw,2022-01-07T14:34:48+00:00
-8CnU_dDos8,2022-04-04T16:03:22+00:00
0ulyfM_GBH4,2022-04-12T14:53:37+00:00
Nv5i_nuZOqw,2022-04-12T14:58:01+00:00
4wD00RT6d-g,2022-04-12T15:33:15+00:00
XaCYSX5WE5M,2022-04-12T16:22:45+00:00
sRaBKY_dDGg,2022-06-22T09:00:15+00:00
g-m_JtdipFs,2022-06-22T15:12:36+00:00
22NDadLKfzE,2022-06-27T15:27:51+00:00
YYJpFdEaAuc,2022-07-25T15:43:37+00:00
bRTMrjJUr-I,2022-07-25T16:21:01+00:00
0Fa8sjLWhn4,2022-08-01T08:04:52+00:00
X-Bpjrkz-V8,2022-10-18T14:07:58+00:00
3DxHuRqXw48,2023-04-24T21:22:04+00:00
hCSmA7n7TTM,2023-06-08T20:27:51+00:00
GelXNKTNprg,2023-10-06T14:10:37+00:00





