Video ID,Playlist Video Creation Timestamp
0EX_fQFVlCU,2024-07-22T15:43:31+00:00
np6sIWUTPlE,2021-10-05T08:33:32+00:00
5ewZ5ej1rmo,2021-08-19T08:44:52+00:00
wueLXCbm_KY,2020-08-27T11:21:08+00:00
mlPxld8EHTQ,2020-08-11T10:40:43+00:00
7KlwcAY_hRg,2021-02-19T10:11:42+00:00
TgR_9z_7yiE,2019-10-10T08:21:31+00:00
aHUtMbJw8iA,2019-10-09T14:45:43+00:00
Lo-aRkdkEas,2020-08-27T07:45:46+00:00
AH2NagMoYYE,2019-09-18T19:32:06+00:00
2pCv-NJI1JY,2019-06-19T16:51:40+00:00
m1l7ghxOKF0,2021-02-17T11:40:17+00:00
1CDTw_UpQoQ,2019-02-14T17:44:28+00:00
Amqn_WSHXCM,2020-08-27T15:22:37+00:00
y0m7VEHoXMI,2020-08-11T10:35:39+00:00
0Zpzl4EKCco,2021-02-19T10:12:06+00:00
hmkQUpJgDjU,2020-08-27T07:32:02+00:00
BTyKwxf60s4,2021-01-10T17:47:39+00:00
Vx1vSd5uYS8,2020-08-11T10:37:25+00:00
rZExvZEjvtk,2016-11-17T09:17:15+00:00
oxBCapWFqmw,2020-08-11T13:25:22+00:00
RkKl1O56w-c,2016-08-16T11:33:14+00:00
B9qzdVcIj5U,2016-08-16T11:34:38+00:00
qdB8SRhqvFc,2016-08-13T13:11:45+00:00
kJKQmTumFP0,2020-08-28T12:56:00+00:00
V_MJPPc1cs0,2016-08-13T13:11:28+00:00
Xf6K5fyi6yc,2020-08-11T13:21:20+00:00
51owbl4mAoE,2021-02-19T10:12:54+00:00





