Video ID,Playlist Video Creation Timestamp
V88yyayq6AY,2014-08-31T09:50:11+00:00
khv1fTwFkQk,2014-08-31T09:31:49+00:00
8cN2Q2gPvWk,2014-08-31T08:47:56+00:00
hNSpgZGcDr4,2014-08-31T08:26:53+00:00
qOPr5_fUJUU,2014-08-31T08:42:13+00:00
y6hCv4CTb2U,2014-08-31T09:53:15+00:00
RDwsCwprjbk,2014-08-31T10:41:07+00:00
LV0mNXLSDN8,2014-08-31T09:36:52+00:00
s8ZabUE4vQU,2014-08-31T08:12:59+00:00
Td1nKgFDpTs,2014-08-31T10:03:24+00:00
_fGlVwddrWw,2014-08-31T09:24:25+00:00
bN1-Q5x_HX0,2014-08-31T08:06:07+00:00
vYQRR2Ehllk,2014-08-31T08:20:59+00:00
J40SFqmJH3Y,2014-08-31T08:38:55+00:00
uiSXnr7NLWg,2014-08-31T08:43:04+00:00
Ix0kN-pLxtI,2014-08-31T08:37:44+00:00
K9axJJx0J0c,2014-08-31T10:13:57+00:00
dsHKRAssIsU,2014-08-31T09:37:43+00:00
EvpZGxEvR8Y,2014-08-31T10:48:43+00:00
paL47a1sun4,2014-08-31T08:30:14+00:00
E7PSPm-T-LQ,2014-08-31T10:16:16+00:00
EZkXHFOHngo,2014-08-31T10:06:25+00:00
CzYOOGV7Es4,2014-08-31T10:50:25+00:00
4LJwTSnPb0Y,2014-08-31T08:30:20+00:00
prDVxxFsUpY,2014-08-31T08:05:20+00:00
MaBY5aNDjDo,2014-08-31T08:30:07+00:00
8hISThzFbAQ,2014-08-31T09:23:32+00:00
u4QMrpIG06k,2014-08-31T10:24:36+00:00
4XUQOoQqI_s,2014-08-31T08:01:16+00:00
dlgKVzE8m5w,2014-08-31T08:30:58+00:00
l4-jJEntUew,2014-08-31T10:30:00+00:00
cHQYyruY6Ck,2014-08-31T08:36:02+00:00
e92fyLQcKAo,2014-08-31T09:56:09+00:00
gOvcwINN_gM,2014-08-31T09:27:47+00:00
au79XacBLLU,2014-08-31T08:14:24+00:00
FswGv91gK5o,2014-08-31T08:28:02+00:00
ui-ZFMVPkbc,2014-08-31T08:25:45+00:00
KEXlw9IjtwE,2014-08-31T08:05:47+00:00
V78bi24fG9w,2014-08-31T08:00:24+00:00
oAKnYKaJyN0,2014-08-31T08:55:43+00:00
DsZU-x84GSw,2014-08-31T09:34:23+00:00
vOzB1ADOT-k,2014-08-31T08:03:11+00:00
7soifX1EBRk,2014-08-31T08:22:35+00:00
V_exW9QCtms,2014-08-31T08:18:28+00:00
MzPWHCs2WlM,2014-08-31T08:17:12+00:00
QFxRjwrwSas,2014-08-31T10:28:59+00:00
P76NsDhMYzw,2014-08-31T08:35:03+00:00
EAQ5r8CpoIo,2014-08-31T10:02:14+00:00
_oc0DhLm98A,2014-08-31T10:14:29+00:00
XxZN1EOSvSg,2014-08-31T09:19:07+00:00
z73tqFG4YDY,2014-08-31T10:06:15+00:00
ve_a9NSQlMY,2014-08-31T08:48:13+00:00
RNwseNjSYUU,2014-08-31T09:21:09+00:00
l5xUh5ETJDU,2014-08-31T08:48:20+00:00
qe30DvWSllc,2014-08-31T10:43:59+00:00
bFSya1BkmIU,2014-08-31T09:12:31+00:00
ti9hcQ8ihBs,2014-08-31T08:38:23+00:00
oqrXKzTxyIU,2014-08-31T07:55:23+00:00
HbOgTMT6fuY,2014-08-31T10:36:30+00:00
k4NtpVXglHg,2014-08-31T10:42:55+00:00
GUX6cNBNTGs,2014-08-31T10:04:07+00:00
6xo9LJUWukI,2014-08-31T09:17:27+00:00
oloWtUMsyKk,2014-08-31T08:24:37+00:00
MMjlqTvY_mU,2014-08-31T09:41:42+00:00
l8tdYAxm1Pw,2014-08-31T10:42:14+00:00
TzQyMLjWsss,2014-08-31T10:45:28+00:00
WMH3iqpvdt0,2014-08-31T10:44:05+00:00
gbEcejLksNc,2014-08-31T08:49:39+00:00
oSJqpLqlcjQ,2014-08-31T09:05:50+00:00
Z2MK4TkRvDo,2014-08-31T10:40:39+00:00
E-l2XMtSdGU,2014-08-31T08:59:49+00:00
sQsLkBAu4bs,2014-08-31T09:52:14+00:00
zxhhpYbGUQo,2014-08-31T09:51:56+00:00
gyPOPvEzKIY,2014-08-31T10:05:30+00:00
kHPiXBhulrM,2014-08-31T10:46:47+00:00
j7cByEVn0-A,2014-08-31T08:24:44+00:00
u8clvG_ssmE,2014-08-31T08:27:08+00:00
A9oTAzmHSWs,2014-08-31T09:16:18+00:00
sJflgDH7Eg4,2014-08-31T10:25:46+00:00
0qWdeswpoiY,2014-08-31T10:28:03+00:00
KsQC10iEbM4,2014-08-31T10:44:37+00:00
CSBASh_LhSA,2014-08-31T10:38:29+00:00
Xlf95SQGy44,2014-08-31T08:33:05+00:00
RRkD3YRM47Q,2014-08-31T08:33:20+00:00
Mo-d8OntJ6I,2014-08-31T10:09:38+00:00
udNhZb-4kWw,2014-08-31T09:55:37+00:00
mWCg0Ae-zR4,2014-08-31T08:49:21+00:00
AsDyCbOf7Fw,2014-08-31T08:37:29+00:00
uji5ccndG0E,2014-08-31T10:38:40+00:00
pq7YWCBkbyU,2014-08-31T08:03:52+00:00
6mW8GLm2u0U,2014-08-31T08:21:41+00:00
ZJvDP2yiyAs,2014-08-31T10:37:12+00:00
XcCg0_WHllc,2014-08-31T08:23:54+00:00
KukXo5SehNk,2014-08-31T07:56:51+00:00
9NV1-2-yXts,2014-08-31T08:37:11+00:00
lzoFWD8-0pc,2014-08-31T08:28:32+00:00
upyCl5zTgps,2014-08-31T09:21:39+00:00
DBMhgpkbPlU,2014-08-31T10:35:27+00:00
6iqp06wYiug,2014-08-31T10:32:49+00:00
PeRtaDh6fD0,2014-08-31T10:33:15+00:00
66KqMTsSNF4,2014-08-31T09:15:09+00:00
weRpLBhZCZE,2014-08-31T10:10:11+00:00
TzWtZbc_RZg,2014-08-31T07:59:15+00:00
XZcVprvhjhk,2014-08-31T08:11:36+00:00
pFpBSOwZ_QY,2014-08-31T07:58:48+00:00
rQ3BSsH8MwM,2014-08-31T10:18:03+00:00
u4A2wVPUcxs,2014-08-31T08:46:48+00:00
jvmicbwEOvs,2014-08-31T07:54:40+00:00
yiD8tcus2vE,2014-08-31T07:53:07+00:00
3IrUCTgIeS8,2014-08-31T08:44:13+00:00
IurSF3oOlnA,2014-08-31T08:14:14+00:00





