Video ID,Playlist Video Creation Timestamp
NhjEbuuKn1Y,2018-12-05T19:46:51+00:00
zzofkNaoPYE,2018-12-06T17:49:09+00:00
R_cywFgnMM8,2018-12-06T18:02:57+00:00
lB9eKH_9SBE,2018-12-06T18:35:41+00:00
YMfswGV07xo,2018-12-06T18:42:25+00:00
XCti72iChzg,2018-12-06T18:50:40+00:00
plt-iH_47GE,2018-12-06T18:50:49+00:00
mTNdTcwK3MM,2018-12-06T18:50:59+00:00
SgnE3p1qF-c,2018-12-06T18:51:08+00:00
bKD7QZVq9SM,2019-01-10T19:49:18+00:00
FJNExz1BICU,2019-01-13T12:37:28+00:00
88TOxfKzkHw,2019-01-13T12:56:47+00:00
ZzNUiBTdFTw,2019-01-14T13:21:01+00:00
e8TU-XtyzOM,2019-01-20T13:16:59+00:00
A7r9NKEMri0,2019-01-20T14:37:30+00:00
CMNYuXTe1tM,2019-01-20T15:12:04+00:00
7CUO7PyD5zA,2019-01-27T11:22:00+00:00
YZK_inA_wNM,2019-01-31T20:29:07+00:00
nvaa5zD376k,2019-02-01T16:23:07+00:00
kWmtOFwcXyE,2019-02-05T18:45:25+00:00
1CDTw_UpQoQ,2019-02-14T17:44:35+00:00
9B-IB2U3qSI,2019-04-14T13:20:14+00:00
Jz4U3xxwENE,2019-06-24T09:13:32+00:00
2an6-WVPuJU,2019-10-08T08:23:29+00:00
PeiEooieybA,2019-10-15T14:19:23+00:00
qy4TgWvqEWE,2019-10-22T09:17:21+00:00
w2Woat-LxCM,2019-10-23T16:16:07+00:00
BsYToHnwUVI,2019-10-27T17:19:18+00:00
f_tEA9O9pco,2019-10-31T20:32:32+00:00
27eZXmB6VOs,2019-11-12T21:00:45+00:00
TgWyyoofKIA,2020-01-15T21:05:15+00:00
wDBEc3dJJV8,2020-05-10T12:58:25+00:00
mq984Mc9UVA,2020-05-13T15:51:49+00:00
yOFau-6qUc8,2020-05-13T15:54:54+00:00
nVcjaiTRgSY,2020-05-13T16:01:49+00:00
E6YA6HnUEwM,2020-05-27T19:29:54+00:00
rdeBtjBNcDI,2020-05-31T16:17:16+00:00
5Zc3W4NpiA8,2020-06-18T14:01:18+00:00
RIDPXZlRbv0,2020-06-18T14:15:11+00:00
k4bs37odT0c,2020-07-14T13:48:43+00:00
OCMt-aA8XBA,2021-03-03T19:48:28+00:00
rzJL7zwcPTw,2021-05-10T16:27:59+00:00
wi4Sjagx10Q,2021-05-13T19:10:13+00:00





