Video ID,Playlist Video Creation Timestamp
_u7UwVKfFuQ,2019-07-12T16:56:45+00:00
rRsOxSuJ4OU,2019-07-12T17:07:48+00:00
CCH1QrGy2Ko,2019-07-12T17:56:16+00:00
27eZXmB6VOs,2019-11-12T21:00:55+00:00
eeoSZ4ZblQE,2019-11-12T21:18:21+00:00
cXDiOV8CgGY,2022-11-04T10:05:49+00:00
S0oJGy4a65Q,2022-11-04T10:06:22+00:00
yl4JN-HLqbg,2023-02-03T11:14:45+00:00
g0rRsE3QfAE,2023-02-03T15:20:52+00:00
y0iptiuZ4Bc,2023-02-15T14:59:43+00:00
y6BxN_sJDGM,2023-02-20T12:55:49+00:00
2qsoQeh_1ks,2023-03-06T16:54:05+00:00
0MTXBUVusJA,2023-03-19T14:35:32+00:00





