Video ID,Playlist Video Creation Timestamp
6dJanGDDwMM,2015-06-01T17:44:59+00:00
4RNXp9NHxmw,2015-06-03T21:03:35+00:00
ihvIa6OPnJo,2015-06-03T21:03:52+00:00
DD8KicySfhA,2015-06-03T21:04:10+00:00
n_pLdM12yx4,2015-06-03T21:05:52+00:00
075EN7f5oSc,2015-06-03T21:06:43+00:00
NFj9-snrlVA,2015-06-03T21:07:16+00:00
e81UJX2bjUs,2015-06-03T21:07:36+00:00
R2ATWZ5qjzk,2015-06-03T21:08:05+00:00
u-X6lZr_Bfc,2015-06-03T21:08:42+00:00
fFsZkfC9Z6Q,2015-06-03T21:09:25+00:00
M03yw6ILcgo,2015-06-03T21:09:37+00:00
mK-aBChDtts,2015-06-03T21:10:00+00:00
AFaqJC_tXP8,2015-06-03T21:10:12+00:00
aX21YIMBbPI,2015-06-03T21:10:37+00:00
d-03VEKCBBE,2015-06-03T21:12:40+00:00
gQFmsvPo6BQ,2015-06-03T21:13:00+00:00
p-SQH94Pifc,2015-06-03T21:15:50+00:00
URRtk4OQCY4,2015-06-03T21:16:38+00:00
HmCnOP8_6hQ,2015-06-03T21:18:48+00:00
usnznJZ0XvA,2015-06-03T21:21:12+00:00
wz2jXHKa7TY,2015-06-03T21:24:47+00:00
CKpTYLQ5K9w,2015-06-03T21:25:20+00:00
CuWV8ellRM8,2015-06-03T21:27:12+00:00
C_XkTKoDI18,2015-06-03T21:33:50+00:00
Mw8gO-ro6Zs,2015-06-03T21:35:08+00:00
l7qpJ2ZvCMU,2015-06-03T21:38:53+00:00
CdUEjpcKJ1E,2015-06-03T21:44:50+00:00
slv9kXJjapQ,2015-06-03T21:45:58+00:00
49c9buapoGo,2015-06-03T21:46:37+00:00
yC1DZrXu4HE,2015-06-03T21:47:50+00:00
atMgScs_eEU,2015-06-03T21:50:03+00:00
voLtt8n6ufk,2015-06-03T21:52:17+00:00
Mdegk9V4bwA,2015-06-03T21:52:59+00:00
iGo1bHnPZ50,2015-06-03T21:58:57+00:00
A1PsDkKzi8M,2015-06-03T22:06:01+00:00
CVcu6kV22ZU,2015-06-03T22:06:48+00:00
yOxVvNiKUYE,2015-06-03T22:08:04+00:00
lqyXgFaf1-4,2015-06-07T11:12:33+00:00
ulJx1XXQw4U,2015-06-22T06:45:09+00:00
Bwr5IkzdjBI,2015-06-22T07:31:12+00:00
KvGsV8Trl8o,2015-06-23T07:31:42+00:00
 -X-4Bo-sfXQ,2015-06-24T06:24:54+00:00
Ss9Znucx4GM,2015-06-27T10:36:31+00:00
9pix-fExUd4,2015-08-30T16:15:12+00:00
cgm6Xc9pPyE,2015-08-30T16:16:27+00:00
fEKSr80L-1c,2015-08-30T16:16:35+00:00
7f81_erOkxM,2015-08-30T16:16:43+00:00
c_BNxOTwdHA,2015-08-30T16:16:56+00:00
Egxpb5j8viY,2015-08-30T16:17:01+00:00
Wg1oY1RhYuo,2015-10-31T10:27:32+00:00
VPh-d16zqiY,2015-10-31T10:51:05+00:00
uHj0TP7gBhw,2015-10-31T10:58:32+00:00
QsANXBVzqWE,2015-10-31T11:22:19+00:00
wlM_jg2vdTA,2015-11-14T11:28:03+00:00
96pO4x1OGsA,2016-05-27T06:39:59+00:00
Peklmy6CFbg,2016-07-09T09:40:20+00:00
eetjwcRph-w,2016-07-09T09:44:05+00:00
Ku8j3jFN4NA,2016-07-09T09:44:45+00:00
IFtmB2U3Clo,2016-07-09T09:54:06+00:00
oABeNjFWpkc,2016-07-09T09:55:33+00:00
iEjp71HE6Dg,2016-07-09T09:57:42+00:00
5unTZHJaBNo,2016-07-09T10:09:42+00:00
LxP0Ngt3s5o,2016-07-09T10:16:17+00:00
54yOhmd5zjg,2016-07-09T10:17:37+00:00
jENMcnDs5yo,2016-07-09T10:18:05+00:00
0GgMDqb62iE,2016-07-09T10:18:26+00:00
9SvfLB6bLHM,2016-07-09T10:18:50+00:00
3jdI0dtt7y4,2016-07-09T10:19:46+00:00
VzH0RVBLWOA,2016-07-09T10:20:15+00:00
4fSkjUZz5Ds,2016-07-09T10:20:56+00:00
APSCPAAs6LQ,2016-07-09T10:22:22+00:00
PE7YUXCZjSI,2016-07-09T10:22:44+00:00
II3SuAnQmDE,2016-07-09T10:23:00+00:00
KTM9aVw3AHU,2016-07-09T10:23:25+00:00
zISLtdZGsj4,2016-07-09T10:23:40+00:00
o1Mpl1mswYs,2016-07-09T10:24:06+00:00
cyHLkc8g4_s,2016-07-09T10:24:26+00:00
SPycmvzwuUM,2016-07-09T10:24:54+00:00
sM-y1rinF0o,2016-07-09T10:25:19+00:00
zjoIQWuTTMY,2016-07-09T10:25:38+00:00
7EBQJ7RilUQ,2017-06-03T23:16:46+00:00
 -aAfxwzUKCc,2019-10-12T13:21:35+00:00





