Video ID,Playlist Video Creation Timestamp
6G59zsjM2UI,2018-11-22T07:43:43+00:00
uRIKJCKWla4,2018-11-22T07:58:32+00:00
4GcU9LjuVOo,2018-12-11T17:58:13+00:00
HzeekxtyFOY,2018-12-16T16:07:21+00:00
4KCM6R8rBW4,2018-12-19T22:48:35+00:00
8CrOL-ydFMI,2018-12-20T17:08:24+00:00
xWhuQOVTFGw,2019-01-13T13:31:35+00:00
TmNSlF7lcaw,2019-02-26T17:47:17+00:00
xh3aQi8fNd0,2019-03-10T13:32:10+00:00
jKTzLZizpDg,2019-04-22T10:30:49+00:00
4xQxjosx-dk,2019-06-28T16:42:47+00:00
6iAQ6dA5gJI,2019-07-08T12:36:52+00:00
VkKnOEQlwl4,2020-06-18T19:20:43+00:00





