Video ID,Playlist Video Creation Timestamp
FZSjvWtUxYk,2016-08-27T08:15:51+00:00
i4WcZxW5cbo,2016-08-27T09:17:04+00:00
cCOL7MC4Pl0,2021-01-03T17:02:44+00:00
8aGhZQkoFbQ,2021-01-03T17:14:38+00:00
YXtQms2msZQ,2021-01-17T19:35:26+00:00
cLxNdLK--yI,2021-01-17T19:48:48+00:00
qFVZBrdBxms,2021-01-17T19:51:00+00:00
z_XkUSaQ5UY,2021-01-17T19:53:27+00:00
C3dfjyft_m4,2021-01-21T10:26:35+00:00
Qw9SEos9Ugk,2021-02-14T15:37:36+00:00
860d8usGC0o,2021-10-12T16:06:01+00:00
-3lqUHeZs_0,2021-10-17T12:25:18+00:00
GK4Pl-GmPHk,2021-10-28T20:41:53+00:00
YjFTidoXOOk,2022-12-13T16:59:14+00:00
lDGrDOGyOr0,2023-01-25T15:19:32+00:00
88EX0X4jA2o,2023-01-25T15:21:08+00:00
3QEoJRjxnxQ,2023-01-25T15:26:34+00:00
Hy_6BEdtuio,2023-01-25T15:29:04+00:00





