Video ID,Playlist Video Creation Timestamp
uZ_9HXU67RY,2021-05-23T14:55:59+00:00
4se4_ZqkcKw,2021-05-23T14:56:21+00:00
Oz9zw7-_vhM,2021-05-23T14:57:18+00:00
l3ptz8qvZcg,2021-05-23T14:58:55+00:00
MhZ8Ev67TZc,2021-05-23T14:59:43+00:00
msHRy-3WOaA,2021-05-23T15:01:44+00:00
cY9lM73ie0Q,2021-05-23T15:02:19+00:00
qGgYEwJrw0w,2021-05-23T21:11:53+00:00
1w1UBTaCYWE,2021-05-23T21:12:40+00:00
7d7hkB17nfs,2021-05-29T12:54:35+00:00
Eod04JEyOV8,2021-05-29T13:17:27+00:00
5Aw2zvhbgoQ,2021-05-30T17:10:01+00:00
qIJsvKIuzIc,2021-05-30T17:39:18+00:00
NQI4-7MkisI,2021-05-30T17:39:37+00:00
tBMk1iZa85Y,2022-04-01T08:34:08+00:00
rz_XGobmBbU,2022-04-01T08:55:29+00:00
ZeEhE847Qlw,2022-04-01T09:09:16+00:00





