Video ID,Playlist Video Creation Timestamp
iXQdQ3heW8E,2015-05-07T16:57:54+00:00
XYfczbtxAWU,2015-05-07T16:53:14+00:00
Lf9DuCF9I8s,2015-05-07T07:38:01+00:00
Ad8h3lRmyGU,2015-05-07T17:01:23+00:00
kirtKsOEDio,2015-05-07T07:29:10+00:00
RkWNj9vbXxM,2015-05-08T06:33:01+00:00
ihJAiq9Ln2A,2015-05-07T07:30:30+00:00
FpXXiv5_Ivc,2015-05-07T07:28:27+00:00
6BgaOa9w9SE,2015-05-07T07:30:20+00:00
lik-5STfVOw,2015-05-08T06:19:11+00:00
4Q8t_n46wrI,2015-05-08T06:21:38+00:00
4VfT_tKQjjA,2015-05-08T06:21:05+00:00
eMV3pBZCoIY,2015-05-07T06:14:51+00:00
ZLQAWS7zDZE,2015-05-08T06:20:47+00:00
_3ocBPWRqsI,2015-05-07T16:59:57+00:00
y4dRSMHFIyw,2015-05-08T06:32:16+00:00
QaYG3gd0OD8,2015-05-08T06:33:36+00:00
pYl8VpyoWII,2015-05-08T06:27:02+00:00
fZINOR5oSMY,2015-05-07T07:34:55+00:00
qLYSLXLIux4,2015-05-07T07:35:48+00:00
3_r2IVRf7po,2015-05-08T06:15:34+00:00
_s-vzmSwtFk,2015-05-08T06:20:30+00:00
F4de5zbri1I,2015-05-07T07:19:12+00:00
cljYzsI2tJY,2015-05-08T06:19:28+00:00
eh9noPwm6E4,2015-05-07T06:17:51+00:00
cK0vJguU420,2015-05-08T06:16:14+00:00
Iod0SEppPp4,2015-05-07T16:57:21+00:00
cTB_al7oKw8,2015-05-08T06:26:39+00:00
XwL7eAWWSIM,2015-05-08T06:28:28+00:00
XHENPR5uUsY,2015-05-07T07:36:48+00:00
CSUiaIM2Rco,2015-05-07T10:08:43+00:00
TpAIr-joURQ,2015-05-08T06:22:54+00:00
veTtkMju-aA,2015-05-08T06:34:39+00:00
QoSaITbRYYM,2015-05-07T16:53:48+00:00
y2Gf0MmRz9g,2015-05-08T06:31:28+00:00
FlhI7xjJ9Pg,2015-05-08T06:18:49+00:00
V1M0853i78A,2015-05-08T06:17:48+00:00
wsUHdgHQ8jE,2015-05-07T07:20:39+00:00
ZitpZdKJNfs,2015-05-07T07:24:24+00:00
SN4EJDsiDXw,2015-05-08T06:28:10+00:00
54SqyiOBL5U,2015-05-08T06:25:08+00:00
mAEuu2JXWm8,2015-05-07T07:39:22+00:00
a7fo1iqtSVM,2015-05-08T06:18:07+00:00
daNTuoKKiEo,2015-05-08T06:31:53+00:00
hEtY04AEiTs,2015-05-08T06:29:23+00:00
8TV4GQzgZwg,2015-05-07T07:17:34+00:00
08K20hneMuw,2015-05-07T07:32:11+00:00
jRZv_reR_GE,2015-05-08T06:29:58+00:00
XphkuevFKck,2015-05-12T21:35:58+00:00
9mlkp6d9eXA,2015-05-08T21:35:02+00:00
dftEL1PhFjE,2015-05-07T07:19:50+00:00
 -dqJHhjsUCQ,2015-05-08T06:24:52+00:00
2PJy9K94pss,2015-05-08T06:27:44+00:00
hbxUfpq6Mhg,2015-05-08T06:30:39+00:00
tB7CtSCY35c,2015-05-08T06:25:32+00:00





