Video ID,Playlist Video Creation Timestamp
rMg_3AI6MKo,2023-05-29T18:42:39+00:00
KnvUOr-OYpA,2023-05-29T18:42:11+00:00
cuaSkSdvaxI,2022-03-09T19:43:59+00:00
VP-f5dxSDMM,2021-10-26T10:46:20+00:00
q0nAdVRLHrA,2021-10-17T12:52:11+00:00
xQSOfpRZgKY,2021-05-06T18:11:40+00:00
AL0QqhZNfdY,2021-05-02T13:59:28+00:00
ZxOyjZ-g0XU,2021-05-02T13:52:22+00:00
uy7E9TwvTtQ,2021-05-02T13:38:37+00:00
9SR_qQDGHuI,2021-03-07T17:39:08+00:00
vUz3WEUJuQs,2021-03-07T17:17:12+00:00
uuTy18wUVFg,2021-03-07T17:08:53+00:00
hK_W_uNi88c,2021-03-07T17:08:44+00:00
z1NcyUUe8VI,2021-02-28T14:42:05+00:00
dUbof12rP4Q,2021-02-28T13:16:49+00:00
9gOIKLrZp34,2021-02-11T20:12:30+00:00
QZC9_4brssY,2021-01-31T16:27:53+00:00
stNSMhp7CP4,2021-01-10T16:24:25+00:00
PDaGOoNFNvE,2020-12-30T17:11:17+00:00
T-TpPLzRpsU,2020-12-30T16:54:16+00:00
qA17lYGLqpk,2020-12-30T16:36:29+00:00
0MR0vma73yA,2020-12-30T16:28:48+00:00
rlEruUVcBEo,2020-12-30T16:20:29+00:00
1Cosu2JbE5Q,2020-12-29T19:41:38+00:00
rKGh1Xu2jsc,2020-12-29T09:22:20+00:00
AmAxMgw0jzo,2020-12-29T09:17:43+00:00
qIUS-RbBrUY,2020-12-29T08:01:32+00:00
T1dx2CCcL2Y,2020-12-20T17:07:40+00:00
4BxE9KIw6PM,2020-12-20T16:49:57+00:00
SajEYGRXlfw,2020-12-20T16:14:25+00:00
nXwVJR60Xkk,2020-05-10T13:14:20+00:00
3y2Dzs0K6R4,2020-04-06T10:12:34+00:00
3LEZQEcwiRY,2019-04-18T20:24:49+00:00
sLyySFbyTbw,2016-02-22T09:07:31+00:00
o_yxhzL9diY,2016-02-22T09:04:33+00:00
XwDvUcYYpZk,2016-02-22T09:01:42+00:00
NN_oDvod1DU,2016-02-15T10:09:25+00:00
2LTceEJScKs,2016-01-28T20:56:36+00:00
ti4j_g0GOsg,2016-01-28T20:03:35+00:00
ccz6kd8N_-M,2016-01-28T19:55:11+00:00
at33phHJOcA,2016-01-28T19:44:50+00:00
0HhTTdhtbO8,2016-01-28T19:34:08+00:00
voyGs7cC6_s,2016-01-28T19:12:32+00:00
1n-BjaHyapo,2016-01-26T18:42:17+00:00
hOT8ycbKnHQ,2016-01-10T16:44:51+00:00
h-aZuN9haaw,2016-01-03T17:51:08+00:00
IqxBd1GJKPo,2016-01-03T17:40:20+00:00
W0Gkc8NobFA,2016-01-03T17:27:30+00:00
GA78yWUMZvQ,2016-01-03T17:27:20+00:00
cFjhxIXs6cM,2016-01-03T17:17:31+00:00
AVvigwTHpew,2016-01-03T17:07:56+00:00
Vu3bMhDcVgU,2016-01-03T16:48:05+00:00
YO73foC4ZOQ,2016-01-03T16:42:08+00:00
lXe6vy4dcJ4,2016-01-03T16:20:42+00:00
bcM94I3TBp4,2016-01-03T16:06:27+00:00
c_fKn3_BRoU,2016-01-03T15:55:03+00:00
towVbEtkt7E,2016-01-03T15:47:40+00:00
I7wsg52EFWI,2016-01-03T15:38:38+00:00
KmaXhRN81jo,2016-01-03T15:20:36+00:00
VkPAEHheK0I,2016-01-03T15:14:33+00:00
KFxzFGaqlek,2016-01-03T11:39:37+00:00
vkE8jIGL9RE,2016-01-03T11:37:53+00:00
CobNsKbZ8Ps,2015-12-29T18:18:04+00:00
UOHMorbXlOg,2015-12-29T16:48:35+00:00
6s898Nw3uIU,2015-12-12T11:34:42+00:00
OEHiNLHLFYA,2015-12-11T15:47:07+00:00
f1h0hofTa-c,2015-12-11T14:25:39+00:00
KZet7nhEai8,2015-05-03T16:21:36+00:00
79hQI8-8V-U,2015-05-03T16:12:18+00:00
xUkpEujRfZE,2015-05-03T16:09:59+00:00
a4p7Uu6qSGI,2015-05-03T16:01:06+00:00
gpMbCaQSx5k,2015-05-03T15:38:11+00:00
hQVnfd3WGyM,2015-05-03T12:27:14+00:00
eCFsTU57tgU,2015-05-03T11:19:05+00:00
b6sQTc3Z87Q,2015-05-03T08:46:05+00:00
7FLqkwqLl0A,2015-05-01T18:19:48+00:00





