Video ID,Playlist Video Creation Timestamp
nInPVvGoV9M,2019-10-09T15:58:41+00:00
Z578PYE51qM,2019-10-09T15:58:48+00:00
faBNebOHxsU,2019-10-09T15:58:56+00:00
mPYhRwwcAds,2019-10-09T15:59:08+00:00
7FRG02yPzhQ,2019-10-10T19:26:32+00:00
YEu6ujplBPI,2019-10-10T19:54:20+00:00
7_JpOWppEuQ,2019-10-21T13:38:29+00:00
OOTaHjM8DBg,2019-10-21T15:19:55+00:00
cxWo4ttPgAc,2019-10-21T15:24:38+00:00
rfF2VtEfdR4,2019-10-27T17:44:07+00:00
xV5y4m11reA,2019-10-27T17:52:45+00:00
8ce9jv91beQ,2019-10-27T18:11:49+00:00
tl1H4Y17sn4,2019-10-27T18:32:23+00:00
TaOA_Zy2XUw,2019-11-28T20:55:42+00:00
OMJQPqG2Uas,2019-11-28T21:03:27+00:00
x5IJ0APR0EQ,2019-11-28T21:15:45+00:00
FuSZQ8JAo6Y,2019-12-16T18:22:03+00:00
5dRFoZa_UrI,2019-12-16T18:58:17+00:00
i8P-B5aa5E0,2019-12-16T19:18:13+00:00
pwHdFPEX4NA,2020-01-19T19:50:01+00:00
oJPGa0J6p5Q,2020-02-12T20:55:53+00:00
MAikiySP5Yc,2020-11-04T19:57:11+00:00
JC-hSn1Q3uI,2021-01-05T22:43:03+00:00
1dwk_erXAko,2021-06-30T17:21:59+00:00
ZOmKAsect24,2021-06-30T19:07:30+00:00
QuqX-qRNI_Y,2021-06-30T19:07:42+00:00
 -k5UOdHP7y4,2021-07-01T10:29:38+00:00
jqgxSWN73zc,2023-07-04T10:05:05+00:00





