Playlist ID,Add new videos to top,Playlist Image 1 Create Timestamp,Playlist Image 1 URL,Playlist Image 1 Height,Playlist Image 1 Width,Playlist Image 2 Create Timestamp,Playlist Image 2 URL,Playlist Image 2 Height,Playlist Image 2 Width,Playlist Title (Original),Playlist Title (Original) Language,Playlist Create Timestamp,Playlist Update Timestamp,Playlist Video Order,Playlist Visibility
PL5IWFsL2lbElGHD9PBe5EzVQ1ILi1Ex0l,False,,,,,,,,,XMAS 2025,,2025-12-24T10:26:41+00:00,2025-12-24T10:26:41+00:00,Manual,Private
PL5IWFsL2lbEklwHK5uazRdf3qgEWqviJZ,False,,,,,,,,,Screen Printing,,2025-07-20T13:11:55+00:00,2025-07-20T14:42:37+00:00,Manual,Private
PL5IWFsL2lbEmFIXc_SiPEGhazwvnibJcS,False,,,,,,,,,AI,,2025-06-02T10:09:03+00:00,2026-01-19T10:06:37+00:00,Manual,Private
PL5IWFsL2lbEnKm5ld2iS7yvepYLyntjf8,False,,,,,,,,,DTTCY,,2025-02-12T13:14:54+00:00,2025-02-19T16:38:52+00:00,Manual,Private
PL5IWFsL2lbEkq4u-7RXhwNMt2ynOs5b01,False,,,,,,,,,Soundproofing,,2024-08-11T10:40:27+00:00,2024-08-11T10:47:43+00:00,Manual,Private
PL5IWFsL2lbEkyE1sofDRGiVUw8vvj2WGO,False,,,,,,,,,Tech Radar,,2024-05-03T15:01:08+00:00,2024-05-03T15:07:10+00:00,Manual,Private
PL5IWFsL2lbElZuD0ni58TZp-eu2_O9YbM,False,,,,,,,,,Storybook,,2023-04-27T09:38:36+00:00,2023-04-27T09:38:36+00:00,Manual,Private
PL5IWFsL2lbEkgaKycQ-gvv6mwHzJTe00x,False,2023-03-24T15:33:35.46136923+00:00,https://yt3.googleusercontent.com/k9_Jm2NS-3JM2wS0mGfniW0Dz7TL-xsCLDYjC2zw35desYYZskwDTE9hYlhOR7TEjvusiA-kXAk,1000,1000,,,,,FishStock 2023,,2023-03-24T09:09:03+00:00,2023-03-24T15:50:32+00:00,Manual,Private
PL5IWFsL2lbEkJBXCTbWNM-8NtlpPjDt12,False,,,,,,,,,Open AI,,2023-02-27T12:20:33+00:00,2023-06-28T20:08:46+00:00,Manual,Private
PL5IWFsL2lbEkVVXLaTrfXI-6DysUlN2LK,False,2022-10-31T21:16:22.682434428+00:00,https://yt3.ggpht.com/CekXvv00Fg1_sJ1bFeJPuoL21zp5isJi27eOgdIxocyxwL83qr1t3QSk6buZm3NG8tl0JeqfJMI,1000,1000,,,,,Bardcore,,2022-10-31T21:13:26+00:00,2022-11-21T12:05:02+00:00,Manual,Public
PL5IWFsL2lbElxgFMcnh5d-wMyTDKXzXxm,False,,,,,,,,,Contentful,,2022-06-24T10:20:31+00:00,2023-01-25T15:14:40+00:00,Manual,Private
PL5IWFsL2lbEmK_cnqswQAQj-D5nizFKz7,False,,,,,,,,,Builder.io,,2022-05-30T08:56:41+00:00,2022-05-30T08:57:44+00:00,Manual,Private
PL5IWFsL2lbEkOpl1mIdd4TUk0Kc33W9Nn,False,,,,,,,,,WED,,2022-04-29T20:57:26+00:00,2023-03-02T05:33:42+00:00,Manual,Private
PL5IWFsL2lbEnSrJy5IQ9kcfE7TPTF3ubk,False,,,,,,,,,Vue Storefront / UI,,2022-04-27T14:12:56+00:00,2022-04-27T14:16:08+00:00,Manual,Private
PL5IWFsL2lbEmssZ8rK6UFWFfbGHMFZszz,False,,,,,,,,,Recipes - Low Carb,,2022-03-28T08:35:44+00:00,2022-08-28T14:01:04+00:00,Manual,Private
PL5IWFsL2lbEm6TVauwduAvlCk3wiPUElF,False,,,,,,,,,3D,,2022-03-17T12:45:17+00:00,2022-03-17T12:45:17+00:00,Manual,Private
