Video ID,Playlist Video Creation Timestamp
mvmHqkvhzuA,2019-08-11T16:09:27+00:00
ZgmSDiUkeI4,2020-08-19T16:19:30+00:00
bEx3cfnBdFo,2022-01-22T15:28:18+00:00
LeJEnuLQYag,2022-01-22T15:49:00+00:00
10B2W__Nuu4,2022-01-27T21:58:37+00:00
1LO7voa7IJM,2022-01-27T22:25:09+00:00
00wy_U3cGu8,2022-02-02T21:42:38+00:00
D-j4s3Z7mA8,2022-02-02T22:03:40+00:00
3oAVwIR3MDY,2022-02-27T18:57:13+00:00
5H_CP6CddSE,2022-02-27T18:57:26+00:00
wlMODfPd-Jo,2022-02-27T18:57:47+00:00
rS5twjGJZhA,2022-03-06T19:11:05+00:00
LzmTCP4UID8,2022-03-06T19:16:17+00:00
TBBikR5jK3E,2022-03-13T19:02:42+00:00
 -O3cBHUxKik,2022-03-13T19:03:11+00:00
c3bsAyUSVk8,2022-03-17T11:33:29+00:00
hEGumHAs0xI,2022-03-17T14:07:05+00:00
voNCRUH9IAo,2022-03-24T10:13:17+00:00
LqPko6a3Wh4,2022-03-24T12:47:11+00:00
GittnRzz0Vk,2022-03-28T08:28:16+00:00
WBQaTNCbaUY,2022-03-28T08:30:53+00:00
G8RCBUA5YX8,2022-03-28T09:42:56+00:00
a7brJ2UHIgQ,2022-03-31T21:27:02+00:00
qveM4oonoDI,2022-04-04T20:45:51+00:00
xaJhuqnPDyk,2022-04-04T21:02:37+00:00
ouPQkDeumwI,2022-04-04T21:09:20+00:00
ERN67EPiPkk,2022-06-05T11:14:30+00:00
ERnbp0XO9T4,2022-06-05T11:17:46+00:00
4VbuBcNCgAc,2022-06-13T21:30:15+00:00
EXQvt91nVII,2022-06-26T16:15:26+00:00
LUWgJFHjdHU,2022-07-06T15:24:09+00:00
fVekAv3-Zm4,2022-07-17T17:31:42+00:00
yifZtA3uF-E,2022-07-31T19:30:58+00:00
MMtCDtoK_kU,2022-08-28T14:01:03+00:00
 -srfPL5CWZs,2023-03-28T14:02:24+00:00
rzmj2ejfNO0,2023-07-23T17:16:15+00:00
4aqx69E9T4A,2023-10-29T20:25:36+00:00
ghAbA2DjHMs,2024-01-01T19:08:51+00:00
YCqhbQHNXWU,2024-11-27T12:15:39+00:00
felbqHTwStY,2025-01-26T15:59:59+00:00
dqdYZu04q9I,2025-05-04T07:56:29+00:00
6_8jFSIvGAk,2025-05-06T15:52:57+00:00
e2LD6e9tLk4,2025-05-13T18:23:02+00:00
At49wkb72iE,2025-05-13T20:37:34+00:00
RG7yAUIzGmY,2025-05-18T14:29:43+00:00
qYHjlutXgdo,2025-06-15T12:56:39+00:00
jI3DdT915XA,2025-06-25T14:46:39+00:00
8_ZBOIIftvM,2025-06-29T11:46:49+00:00
XbftTExqa1M,2025-08-17T10:01:17+00:00
Lh8pqwhCmIk,2025-08-20T21:37:07+00:00
uL3PDXAczwI,2025-08-23T13:32:07+00:00
kDgkLzjPZJ8,2025-08-27T08:38:43+00:00
U7wA08XyCao,2025-09-07T10:25:38+00:00
PRw88q0NkiY,2025-09-21T15:11:21+00:00
1qgKtEZCcvM,2025-09-25T15:19:44+00:00
CWFeCA4J2Ko,2025-09-25T15:24:42+00:00
muPU-fsIz2s,2025-10-02T12:02:37+00:00
JURWfebevjc,2025-10-30T12:24:40+00:00
SGpzznrQu8s,2025-11-14T17:24:56+00:00
CwJ_-vQPGB0,2025-11-18T11:57:30+00:00
KV0CZder3uI,2026-01-31T17:19:20+00:00





