Video ID,Playlist Video Creation Timestamp
X1o6m2-JXq0,2014-07-09T10:28:07+00:00
uj-9fiOPoF8,2014-07-09T10:40:29+00:00
zkwYeaLIhmI,2014-07-09T10:34:14+00:00
A80SOe9TjEA,2014-07-09T10:36:45+00:00
n762hDaDmnE,2014-07-09T10:33:13+00:00
wvTlcCoeBkk,2014-07-09T09:57:29+00:00
rVkpYLx4Css,2014-07-09T10:20:24+00:00
7QiEci6WtHU,2014-07-09T10:39:56+00:00
CZuiWMpATsI,2014-07-09T10:37:18+00:00
iSI5NlVMYJ4,2014-07-09T10:21:20+00:00
c_JckkIIhEo,2014-07-09T10:03:25+00:00
S0yDmlGaeNE,2014-07-09T10:37:03+00:00
6m5D_kvOlo0,2014-07-09T10:05:02+00:00
WretivHg8ew,2014-07-09T10:40:13+00:00
hMeB2Vma5E0,2014-07-09T10:05:12+00:00
fZiLqYGA6-k,2014-07-09T10:34:43+00:00
UBJUgLlCFeg,2014-07-09T10:20:11+00:00
FswGv91gK5o,2014-07-09T10:35:13+00:00
Os99bogU2B4,2014-07-09T10:39:26+00:00
ERZ2vDB885U,2014-07-09T10:19:31+00:00
YZEjyWAsj9s,2014-07-09T10:37:29+00:00
kdoY_YPs68I,2014-07-09T10:23:31+00:00
j-kK14a9dbU,2014-07-09T10:25:16+00:00
CsC5YiaQzvM,2014-07-09T09:56:51+00:00
oxJBENxgVGg,2014-07-09T09:59:17+00:00
GRSz0rOl1r8,2014-07-09T10:29:39+00:00
b3vKaPFcuZg,2014-07-09T10:23:40+00:00
kxbK2AIoQYE,2014-07-09T10:30:16+00:00
z-pFeWFqe34,2014-07-09T10:02:17+00:00
rVgcnasOtAE,2014-07-09T10:29:49+00:00
IuhiLHALmz0,2014-07-09T10:27:22+00:00
eAIDZsZx3eI,2014-07-09T10:39:40+00:00
PnzOyCeXZxM,2014-07-09T10:28:58+00:00
c3wHYlcX0HQ,2014-07-09T10:26:19+00:00
Tdxdw95g4o4,2014-07-09T10:03:00+00:00
tapeM0mmcOw,2014-07-09T10:26:13+00:00
lzoFWD8-0pc,2014-07-09T10:35:23+00:00
3DZDOxZhWu8,2014-07-09T10:31:19+00:00
8Q3lftcofdo,2014-07-09T10:01:53+00:00
i5pzj6ZhqKw,2014-07-09T10:01:40+00:00





