Video ID,Playlist Video Creation Timestamp
rILj4PtNEio,2019-04-28T20:25:47+00:00
c-WDHG6rrdU,2019-04-28T20:35:06+00:00
Yp_oiCWV_no,2019-05-03T16:46:23+00:00
Akn6keIYZ3k,2019-05-13T18:14:23+00:00
CRcXQRx_8tQ,2019-05-15T09:35:59+00:00
qTdwUpQRptc,2019-06-23T10:50:35+00:00
CYNZ6QTbB3A,2019-06-23T10:51:48+00:00
AvbuIRg8_Jg,2019-06-23T10:52:02+00:00
rb8smP_xTTY,2019-06-23T10:53:24+00:00
GjymB-GiZr0,2019-06-23T11:38:22+00:00
YwSzqeBchEc,2019-06-23T13:35:57+00:00
y7JH20HkAWg,2019-06-23T13:36:19+00:00
5axe93josIo,2019-06-23T15:23:11+00:00
Jz4U3xxwENE,2019-06-24T09:13:34+00:00
Wkx_eMeRYes,2019-07-05T10:16:46+00:00
easo9fuIQuM,2020-01-13T10:14:19+00:00
4MXqYGGpeD8,2020-02-04T09:09:45+00:00
WYJ6cuYDaLI,2020-08-31T17:45:10+00:00
mTNdTcwK3MM,2020-09-22T08:02:25+00:00
Rt708OXJfQs,2020-09-28T09:13:12+00:00
xMGRF6pE764,2021-02-11T20:40:21+00:00
SsijT3pEo8Q,2021-02-11T20:56:21+00:00
qMcNDWyRw20,2021-02-11T21:38:38+00:00
UiZl6aTgego,2021-05-05T09:18:39+00:00
UNOE54BYy7Q,2022-01-30T20:27:28+00:00
X-Bpjrkz-V8,2022-10-18T14:07:54+00:00
2Cf_E6kx1Pc,2022-10-21T12:59:49+00:00
uaHM-sgnv4s,2023-01-25T13:57:55+00:00
hVxZ-te0kio,2023-01-25T14:00:21+00:00
UqfU0L4KqRM,2023-01-25T15:07:03+00:00
iZvhQ484V8s,2023-01-25T15:07:39+00:00
TIdn8wXqwQE,2023-01-25T15:14:40+00:00
I2_-czgGAls,2023-01-25T15:15:39+00:00
3DxHuRqXw48,2023-04-24T21:22:01+00:00





